City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,clyde river,70.4692,-68.5914,-30.77,68,0,3.44,CA,1675809045
225,soddy-daisy,35.2359,-85.1908,67.82,54,100,3.83,US,1675809284
226,pevek,69.7008,170.3133,-22.38,95,100,3.04,RU,1675809285
227,bethel,41.3712,-73.414,37.36,66,0,6.91,US,1675809214
228,benjamin aceval,-24.9667,-57.5667,95.59,38,84,9.37,PY,1675809286
229,sur,22.5667,59.5289,72.73,57,32,9.48,OM,1675809286
230,half moon bay,37.4636,-122.4286,63.91,63,0,12.66,US,1675809179
231,okhotsk,59.3833,143.3,-14.76,86,97,10.0,RU,1675809144
232,saurimo,-9.6608,20.3916,63.3,94,100,2.84,AO,1675809287
233,sijunjung,-0.6876,100.9537,66.99,78,90,1.9,ID,1675809287
234,dukat,62.55,155.55,-37.8,99,98,4.0,RU,1675809288
235,coquimbo,-29.9533,-71.3436,65.93,82,100,11.5,CL,1675809188
236,sydney,-33.8679,151.2073,76.6,73,75,6.91,AU,1675809050
237,padang,-0.9492,100.3543,75.63,68,99,3.51,ID,1675809288
238,luderitz,-26.6481,15.1594,66.58,80,4,17.92,NA,1675809289
239,muborak,39.2553,65.1528,47.59,40,93,12.03,UZ,1675809246
240,lom,43.8139,23.2361,28.92,71,71,6.26,BG,1675809289
241,nemuro,43.3236,145.575,24.28,74,62,6.98,JP,1675809290
242,kalbay,5.7233,125.4986,77.5,78,96,1.57,PH,1675809290
243,lima,-12.0432,-77.0282,77.25,69,40,14.97,PE,1675808997
244,henties bay,-22.116,14.2845,66.06,85,51,5.1,NA,1675809291
245,bambous virieux,-20.3428,57.7575,79.05,78,75,10.36,MU,1675809292
246,roseburg,43.2165,-123.3417,52.18,72,100,0.0,US,1675809188
247,pampierstad,-27.7832,24.6877,68.49,73,100,7.36,ZA,1675809292
248,labuhan,-6.8844,112.2051,75.87,90,100,8.28,ID,1675809293
249,giyon,8.5333,37.9833,60.04,22,1,13.29,ET,1675809293
250,bud,39.447,-86.1758,54.41,62,100,6.96,US,1675809294
251,pando,-34.7167,-55.95,79.2,83,20,17.27,UY,1675809294
252,omboue,-1.5746,9.2618,78.51,83,85,5.41,GA,1675809294
253,ostrovnoy,68.0531,39.5131,32.27,76,65,23.38,RU,1675809295
254,paracuru,-3.41,-39.0306,81.1,77,100,10.04,BR,1675809184
255,huanren,41.2647,125.3667,12.22,90,5,1.9,CN,1675809295
256,buzmeyin,38.0507,58.2056,53.33,43,20,9.22,TM,1675809295
257,egvekinot,66.3167,-179.1667,-21.75,87,98,8.66,RU,1675809227
258,srednekolymsk,67.45,153.6833,-31.58,99,100,5.48,RU,1675809113
